constituency,winning_name,winning_party,margin
Alipurduars,SOURAV CHAKRABORTY(GHUTISH),All India Trinamool Congress,11958
Amdanga,RAFIQUR RAHAMAN,All India Trinamool Congress,22965
Amta,ASIT MITRA,Indian National Congress,4504
Arambag,KRISHNA CHANDRA SANTRA,All India Trinamool Congress,36457
Asansol Uttar,MOLOY GHATAK,All India Trinamool Congress,23897
Ashoknagar,DHIMAN ROY,All India Trinamool Congress,22899
Asnsol Dakshin,TAPAS BANERJEE,All India Trinamool Congress,14283
Ausgram,ABHEDANANDA THANDER,All India Trinamool Congress,6252
Baduria,ABDUR RAHIM QUAZI,Indian National Congress,22245
Bagda,DULAL CHANDRA BAR,Indian National Congress,12236
Baghmundi,NEPAL MAHATA,Indian National Congress,8587
Bagnan,ARUNAVA SEN(RAJA),All India Trinamool Congress,30197
Baharampur,MANOJ CHAKRABORTY,Indian National Congress,92273
Baisnabnagar,SWADHIN KUMAR SARKAR,Bharatiya Janata Party,4497
Balagarh,ASHIM KUMAR MAJHI,All India Trinamool Congress,17837
Balarampur,SHANTIRAM MAHATO,All India Trinamool Congress,10204
Bally,BAISHALI DALMIYA,All India Trinamool Congress,15403
Ballygunge,SUBRATA MUKHERJEE,All India Trinamool Congress,15225
Balurghat,BISWANATH CHOUDHURY,Revolutionary Socialist Party,1450
Bandwan,RAJIB LOCHAN SAREN,All India Trinamool Congress,20307
Bangaon Dakshin,SURAJIT KUMAR BISWAS,All India Trinamool Congress,26904
Bangaon Uttar,BISWAJIT DAS,All India Trinamool Congress,33192
Bankura,DARIPA SHAMPA,Indian National Congress,1029
Barabani,BIDHAN UPADHYAY,All India Trinamool Congress,24049
Baranagar,TAPAS ROY,All India Trinamool Congress,16100
Barasat,CHIRANJEET CHAKRABARTI,All India Trinamool Congress,24999
Barjora,SUJIT CHAKRABORTY,Communist Party of India  (Marxist),616
Barrackpur,SILBHADRA DATTA,All India Trinamool Congress,7319
Baruipur Paschim,BIMAN BANERJEE,All India Trinamool Congress,36532
Baruipur Purba,NIRMAL CHANDRA MONDAL,All India Trinamool Congress,20362
Basanti,GOBINDA CHANDRA NASKAR,All India Trinamool Congress,16607
Basirhat Dakshin,DIPENDU BISWAS (MITHU),All India Trinamool Congress,24058
Basirhat Uttar,RAFIKUL ISLAM MONDAL,Communist Party of India  (Marxist),492
